month,portal,school,embeds,maps-created,page-views,bytes-out,deleted-created-ratio,rows-loaded-total,rows-loaded-total-lag,rows-accessed-total,rows-accessed-total-lag,rows-loaded-api,rows-loaded-api-lag,rows-loaded-print,rows-accessed-website,rows-loaded-download,rows-accessed-api,rows-accessed-api-lag,rows-loaded-website,rows-accessed-rss,rows-deleted,maps-deleted,filters-created,rows-loaded-widget,rows-accessed-widget,users-created,datasets-created,rows-accessed-download,datasets-deleted,view-loaded,rows-accessed-print,rows-loaded-rss,bytes-in,filters-deleted,rows-created,disk-usage,geocoding-requests,charts-deleted,charts-created,comments,app-token-created,shares
26,data.seattle.gov,0,812,815,118033,1.15E+11,0.932820528,247582801,406446755,310249,366926,20804176,31168719,1045058,67732,224597563,281148,333780,1089146,23144,8301918,813,1746,95936,5303,259,330,5481,283,11522,476,1136004,505508579,1737,8899802,4096853215,2,49,49,6,21,14
27,data.seattle.gov,0,2865,789,116725,1.23E+11,0.935913642,219510173,217213071,343038,301948,27964081,17195014,1084299,83889,189378213,315382,270363,1195862,22069,8187877,784,1796,187563,17368,497,317,5123,265,14121,464,1083580,559253747,1768,8748539,4594541154,145,69,73,16,18,10
28,data.seattle.gov,0,11802,815,139410,1.36E+11,0.981821214,195489705,247582801,381083,310249,33567993,20804176,939347,77152,159991495,349631,281148,1170269,20293,8382764,812,1951,715660,37448,187,311,10688,267,22016,471,990870,750057255,1937,8537974,4887822946,1211,43,43,,1,12
29,data.seattle.gov,0,4598,871,232392,2.64E+11,0.751458232,234677829,219510173,454011,343038,21849897,27964081,439783,71964,211319306,419631,315382,1167249,21860,8625324,857,1908,286926,24918,340,313,12296,265,17878,224,1068843,578275616,1890,11478115,5754144571,26,52,54,7,124,6
30,data.seattle.gov,0,4447,758,249480,6.62E+11,0.933894695,359288901,195489705,562628,381083,47382778,33567993,541070,102323,310428459,516822,349631,1551329,19128,8014787,741,1654,270641,20702,217,271,26324,240,20726,354,936594,743440060,1620,8582110,5959816682,1815,45,52,6,59,
31,data.seattle.gov,0,4339,886,195460,6.44E+11,0.934100863,263109902,234677829,614121,454011,24411297,21849897,343092,83451,237553091,535736,419631,1579130,16313,9384945,882,2033,248863,20819,273,314,61897,272,19443,175,802422,669862484,1984,10047036,6462307407,151,62,65,1,23,4
32,data.seattle.gov,0,7928,871,195371,7.96E+11,0.929815203,303875045,359288901,544470,562628,21585266,47382778,458463,82077,281144430,508126,516822,1664059,13884,9538208,859,2148,696356,33677,203,319,22277,274,23728,183,686886,857954117,2108,10258176,7592785771,19,47,51,1,18,24
33,data.seattle.gov,0,4940,777,198315,8.50E+11,0.929102789,356320127,263109902,481507,614121,29372583,24411297,712265,84052,325543136,445395,535736,1375541,14060,8604669,774,1943,273702,22081,186,321,21794,267,22219,258,692143,611222595,1927,9261267,7706752875,28,41,41,2,15,3
34,data.seattle.gov,0,5033,878,191202,9.15E+11,0.923458664,369656472,303875045,422942,544470,22152567,21585266,1037568,120256,345766345,382937,508126,1779620,14238,9671064,870,2190,296217,25106,373,300,25393,273,20290,374,699992,827413777,2175,10472655,8059280075,4,46,47,1,13,
35,data.seattle.gov,0,3997,842,164673,1.11E+12,0.919682235,1013930516,356320127,421045,481507,41787268,29372583,1345137,105108,969667978,368406,445395,1933995,22970,9440265,837,2036,341443,26016,525,321,29162,275,23457,507,1130133,749236218,2010,10264703,8427086914,62,44,45,2,31,8
36,data.seattle.gov,0,3938,846,445555,1.06E+12,0.934866676,825238343,369656472,537914,422942,33614590,22152567,1872023,121583,788868206,493486,382937,2985003,18139,9374542,833,2094,402559,31341,266,305,25599,416,24973,690,883524,864792495,2065,10027678,8767003858,2,44,45,4,13,5
1,data.montgomerycountymd.gov,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,data.montgomerycountymd.gov,0,,3,156,30655669,0.185185185,25,,1,,,,,31,25,,,701,,25,1,,,,1,5,1,1,20,,,158367,,135,0,13,,,,,
3,data.montgomerycountymd.gov,0,20,5,2391,1090838904,0.931838327,10402,,140,,6286,,274,2970,1854,58,,65792,57,31539,,3,2257,105,2,11,23,9,666,2,1988,14787554,2,33846,1720320,2920,,3,,,
4,data.montgomerycountymd.gov,0,21,,1473,462238817,,21458,25,199,1,523,,7087,2120,12545,64,,52887,35,,,,4332,138,2,,68,,419,32,1303,7872888,,,8134656,,,,,,
5,data.montgomerycountymd.gov,0,37,,1976,556350963,0,23183,10402,264,140,709,6286,465,1365,19310,109,58,36531,76,,,,2156,91,2,1,64,,573,15,2699,4414678,,805,8478720,43,,,,1,
6,data.montgomerycountymd.gov,0,5,1,2065,623743330,0,23331,21458,273,199,515,523,1536,1786,18287,70,64,59738,84,,,,2116,139,4,2,94,,523,25,2993,7897614,,138,8822784,,,,,,
7,data.montgomerycountymd.gov,0,37,,2521,933845273,0.018711773,33395,23183,475,264,188,709,2984,2474,23348,164,109,54321,201,10059,,2,3722,188,2,16,101,8,757,9,6875,8291365,2,537576,236552192,2568,6,6,,,12
8,data.montgomerycountymd.gov,0,22,,12380,4034814927,0.424185081,359030,23331,1177,273,957,515,2941,6194,342705,563,70,139191,360,2346745,,,3164,121,2,64,236,53,1040,18,12427,28635751,,5532361,237051904,3641,,,,,25
9,data.montgomerycountymd.gov,0,60,27,5177,17660277563,0.498943469,229544,33395,378,475,206,188,307,4297,226736,208,164,110285,67,9967241,26,62,7260,246,7,174,100,144,1040,3,2295,33006771,53,19976694,1494482944,0,43,48,,,21
10,data.montgomerycountymd.gov,0,105,30,2975,15275014108,0.521783743,727968,359030,194,1177,24,957,4945,3923,720893,24,563,101036,51,10222737,30,175,11143,242,6,168,114,158,1315,5,2106,23806371,170,19591904,1480638464,,134,134,,,34
11,data.montgomerycountymd.gov,0,161,16,6646,24254277957,0.484997329,9077655,229544,904,378,14498,206,92317,9287,8964750,101,208,227670,159,10186606,16,169,27281,528,7,183,587,164,1837,57,6090,40106285,168,21003427,1713717248,1805,142,142,,,12
12,data.montgomerycountymd.gov,0,775,1,17758,98739941822,0.477124591,4148595,727968,1333,194,269293,24,347196,1233756,3513860,212,24,8713679,444,13097957,,164,387341,39538,14,172,569,162,10772,108,18246,4340151309,157,27451859,2159309707,216,156,156,,,3
13,data.montgomerycountymd.gov,0,673,,12520,52891886420,0.494845943,2908844,9077655,1388,904,13481,14498,507063,367070,2368112,198,101,2766527,492,13247017,,197,196339,26629,12,156,540,153,5503,158,20188,1864064196,191,26769982,2146440075,,174,173,,,2
14,data.montgomerycountymd.gov,0,569,1,17417,58922452436,0.475792437,4107423,4148595,1343,1333,1531,269293,640674,447152,3446626,172,212,3294173,416,13749201,,301,241695,30188,2,163,582,150,7071,173,18592,3057610561,300,28897477,2168165259,38186,138,138,,,8
15,data.montgomerycountymd.gov,0,1152,3,10711,52037486367,0.490159055,2576299,2908844,1044,1388,10847,13481,347938,246319,2201374,123,198,1846093,384,15060758,1,353,109405,11222,8,153,424,147,5095,113,16140,1183976888,348,30726267,2380018571,6957,142,143,,,6
16,data.montgomerycountymd.gov,0,381,35,9660,39949490596,0.493398785,1652952,4107423,653,1343,4349,1531,177677,131620,1461710,61,172,1179141,216,16561319,28,359,99111,11989,9,189,310,179,3409,66,9216,618572364,353,33565788,4111537035,101614,132,133,,,6
17,data.montgomerycountymd.gov,0,1591,61,12809,46467008478,0.495469485,4288255,2576299,983,1044,23222,10847,513194,156965,3748166,134,123,1299786,91,21403214,53,515,161021,15286,8,196,613,179,4781,145,3673,824355865,496,43197845,3673404299,230253,158,158,,,19
18,data.montgomerycountymd.gov,0,1197,74,14030,50023146712,0.483839401,3862208,1652952,17917,653,363347,4349,256466,188326,3239374,17378,61,1618801,72,22558266,70,645,209738,24956,13,283,393,255,5200,74,3021,981024444,641,46623458,4091974539,96834,141,144,,1,36
19,data.montgomerycountymd.gov,0,509,89,14738,49531481015,0.499808018,7756337,4288255,18587,983,556540,23222,614016,195172,6582703,17417,134,1684968,80,27485504,84,738,180820,15074,30,330,868,310,4098,222,3078,960478402,732,54992123,4601000843,329142,140,140,,,32
20,data.montgomerycountymd.gov,0,2709,109,17629,61746767536,0.487481096,7103366,3862208,10755,17917,657065,363347,482140,214584,5954159,9323,17378,1901562,257,28918825,105,903,245119,26710,28,27737,1013,27697,7964,162,10002,1256803861,896,59322967,4667577227,349004,146,146,,,74
21,data.montgomerycountymd.gov,0,648,123,14927,51522427864,0.477335718,7226281,7756337,2465,18587,388736,556540,929866,197549,5904692,1208,17417,1774443,69,22936850,118,984,164904,14524,15,39810,922,39777,5010,266,2987,1022022704,978,48051820,4748219275,433531,99,99,,3,40
22,data.montgomerycountymd.gov,0,761,142,16439,42423838349,0.654931178,10839350,7103366,18184,10755,872173,657065,1231569,200121,8733151,868,9323,1909797,65,28087945,139,1063,243741,24073,31,40009,16865,39950,6006,386,2457,1073635280,1058,42886865,5997507467,406569,84,88,1,2,70
23,data.montgomerycountymd.gov,0,2501,50,19349,25135661185,0.588406278,7826172,7226281,26938,2465,502043,388736,1167278,186362,6155487,5919,1208,1736812,34,7124688,46,253,252602,23763,63,18271,20663,18239,6915,322,1364,1011471110,252,12108450,6641808267,1213261,12,12,,2,106
24,data.montgomerycountymd.gov,0,2129,5,17740,19778522889,0.854538232,7251580,10839350,29674,18184,566818,872173,911780,186690,5767011,9649,868,1628934,148,671215,1,38,300037,23812,15,71,19578,32,9713,299,5971,964968217,36,785471,8647136139,410934,,,1,1,46
25,data.montgomerycountymd.gov,0,12504,15,35098,22552132119,0.507312353,9170518,7826172,262915,26938,911192,502043,571386,235559,7681450,242293,5919,2125986,167,765476,4,44,461190,41237,52,36,20226,12,24324,229,6490,1517349554,34,1508885,10073371531,207681,,3,,31,70
26,data.montgomerycountymd.gov,0,8111,4,37754,24215361295,0.779895426,7670148,7251580,27833,29674,1008881,566818,446819,737684,6212287,9300,9649,6203655,51,997558,4,39,958722,84227,80,27,18323,12,24860,159,2161,3703461462,33,1279092,9981408139,229697,,,1,29,21
27,data.montgomerycountymd.gov,0,1212,21,32106,24082296507,1.079761119,11024004,9170518,30889,262915,4951361,911192,475838,328560,5586177,10877,242293,2977866,271,1362895,13,261,432657,40891,55,45,19550,30,17654,191,10628,1879088874,248,1262219,10598077323,419573,6,7,,1,59
28,data.montgomerycountymd.gov,0,1086,1,23939,24604077404,0.965329045,11879343,7670148,29904,27833,1753822,1008881,214517,166017,9900343,10767,9300,1497229,258,2346601,1,315,225444,22095,27,33,18747,28,14253,132,10661,961524396,311,2430882,12094796683,274034,,1,,,6
29,data.montgomerycountymd.gov,0,1156,6,26879,20197743707,0.990099352,12057030,11024004,31854,30889,1855377,4951361,338939,177393,9850766,11153,10877,1621050,289,8976913,2,5,226702,18979,22,40,20299,22,15624,113,11948,1074361645,,9066679,9662034827,362232,,2,,,74
30,data.montgomerycountymd.gov,0,926,10,23746,27706023051,0.786230181,19566756,11879343,32741,29904,7390261,1753822,595988,152703,11569466,12829,10767,1523780,268,12314342,6,45,204515,15727,19,39,19420,27,15627,224,11041,828806398,37,15662515,9279902603,1077649,16,16,,,40
31,data.montgomerycountymd.gov,0,840,,23317,20943077662,1.012145899,13928253,12057030,31495,31854,2897130,1855377,543651,168189,10471987,11110,11153,1564880,372,10326957,1,19,203637,17408,22,49,19838,21,15458,175,15485,920781972,18,10203032,11247129483,389995,,,,,59
32,data.montgomerycountymd.gov,0,747,7,21976,18946202460,1.020156022,9373893,19566756,28202,32741,4192095,7390261,222543,173623,4953278,10253,12829,1571616,135,9755244,6,24,211079,15172,28,41,17734,15,13500,80,5977,945736134,20,9562502,12500136843,389861,9,13,,1,32
33,data.montgomerycountymd.gov,0,788,2,24515,32289185510,0.75665738,17725144,13928253,27702,31495,7041487,2897130,204519,151518,10470123,10279,11110,1526527,209,16801024,4,14,253595,22683,36,81,17141,53,13743,73,9015,873575450,7,22204269,12475454347,261679,,2,,1,40
34,data.montgomerycountymd.gov,0,6632,11,33779,34261878719,0.841913798,38646892,9373893,32463,28202,10964000,4192095,308576,173447,27357157,13412,10253,1767427,468,10778710,3,19,654485,48857,25,54,18456,23,20980,127,17159,1089873667,4,12802629,16468841355,262567,1,5,,,40
35,data.montgomerycountymd.gov,0,36612,6,59628,33225080670,1.340703575,28762436,17725144,31559,27702,2586754,7041487,304350,172420,25845023,12642,10279,2083634,690,14205595,2,31,2942058,201111,36,29,18015,19,60787,212,26309,2159334790,21,10595627,17352192907,396104,,,,,50
36,data.montgomerycountymd.gov,0,10140,45,44192,79835406842,0.448358451,173222574,38646892,37683,32463,19364517,10964000,407042,207113,153424341,17003,13412,2228761,902,11514696,20,125,1043528,88125,21,90,19543,39,35403,235,26674,1966671158,75,25681898,16372880267,273327,,1,,,141
1,finances.worldbank.org,0,740,,42429,17856072101,0.44577795,3004309,,12117,,48468,,140450,53346,2543999,2793,,740834,8784,214540,,204,31532,1467,63,20,438,4,28156,102,271392,2657707867,133,481271,287580160,,393,440,29,,6
2,finances.worldbank.org,0,862,,38917,13391444890,1.076562572,3765434,,8169,,99269,,43261,46403,3415368,1498,,604452,5732,423130,,166,33196,2015,12,17,841,18,30862,98,207536,2825890614,150,393038,412770304,,550,541,42,,3
3,finances.worldbank.org,0,1130,,80760,29262822474,0.169050579,4659916,3004309,18486,12117,379133,48468,169432,60474,3852095,9703,2793,806190,7751,38624,,173,28393,1693,66,24,835,8,39722,197,259256,2738858654,148,228476,422281216,,344,406,38,,22
4,finances.worldbank.org,0,897,,93756,41162711276,0.007002615,4847438,3765434,24610,8169,1474510,99269,157841,79944,2924810,12576,1498,822517,9539,1845,,195,13043,1295,29,16,2189,4,63211,306,290277,1123402598,180,263473,437813248,,538,569,4,,4
5,finances.worldbank.org,0,2992,,158235,34301601572,0.074398469,3926501,4659916,27810,18486,1565309,379133,16197,118929,2066192,16654,9703,1016819,8672,25160,,229,157016,5017,30,14,2401,5,101938,83,278803,1426075893,201,338179,482893824,,696,730,5,,1
6,finances.worldbank.org,0,3168,2,277772,50189543614,0.029173647,12792622,4847438,36110,24610,4038704,1474510,863897,105694,7549517,13276,12576,1001461,12077,15812,,310,183469,5614,45,46,10602,6,80898,155,340504,1328263682,268,541996,562438144,,535,570,15,,6
7,finances.worldbank.org,0,1488,1,431045,63650318392,0.007733814,8168280,3926501,36092,27810,1249343,1565309,836602,115723,5702722,17388,16654,1033097,13888,1300,,241,68239,2448,63,23,4279,7,70140,537,379613,1227114082,207,168093,703184896,,426,431,2,,20
8,finances.worldbank.org,0,1318,1,363502,95497969414,0.44723753,13051994,12792622,35961,36110,722575,4038704,1224587,113335,10692199,16584,13276,1173820,15151,28324,,147,59236,2028,66,5,3430,1,77441,796,412633,1161425153,104,63331,703275008,12,229,255,4,,1
9,finances.worldbank.org,0,1060,9,421628,74346331481,0.000515713,13435713,8168280,38982,36092,768600,1249343,1203090,143355,11053176,19491,17388,1319135,14830,262,2,524,35378,1471,31,29,3752,4,98481,909,410847,1456116260,479,508035,700362752,,826,834,1,,10
10,finances.worldbank.org,0,1197,4,431873,72793163923,4.15847E-06,14168294,13051994,36630,35961,230097,722575,695622,153431,12809520,18412,16584,1524128,15585,1,3,711,38716,1841,35,29,1738,,120861,895,433055,1366701630,665,240473,720146432,,1182,1195,9,,14
11,finances.worldbank.org,0,1119,3,428916,83925042511,0.465258856,13051086,13435713,35328,38982,202743,768600,650752,251053,11704103,13912,19491,1701593,17512,34150,1,286,31273,1627,21,21,3020,4,123197,884,493488,2386508732,272,73400,725905408,,429,444,,,13
12,finances.worldbank.org,0,1176,4,534005,1.18E+11,0.095339136,19280659,14168294,52648,36630,1323629,230097,1070946,284754,16235147,20803,18412,1802082,24596,19770,4,369,35180,1630,19,8,6111,3,140967,1138,650937,3051443339,343,207365,727592960,,691,704,4,,
13,finances.worldbank.org,0,994,,452977,96185920296,0.942024846,22476407,13051086,35730,35328,206566,202743,1319140,224593,20446608,7995,13912,1808216,17580,6597,,160,35325,1634,20,13,8643,1,85821,1512,504093,2287369255,137,7003,798633984,,231,239,6,,2
14,finances.worldbank.org,0,933,3,432006,1.18E+11,0.389043698,28066190,19280659,38894,52648,1062589,1323629,1313709,373388,25122350,7254,20803,2688596,20621,24991,3,395,29687,1538,16,26,9393,16,105863,1626,567542,7178213548,375,64237,804810752,,676,683,10,,6
15,finances.worldbank.org,0,1226,11,517748,1.34E+11,0.112374816,20661084,22476407,31435,35730,1951294,206566,1148046,463387,17145778,11573,7995,2944477,14892,99754,7,535,46120,2401,40,117,3800,59,134859,1170,415966,7697199452,504,887690,805515264,,820,834,3,1,42
16,finances.worldbank.org,0,1425,26,509940,1.15E+11,0.337313315,17505716,28066190,18654,38894,150872,1062589,702372,339939,16456822,8483,7254,2452811,7232,360311,11,504,56800,2334,155,172,1771,104,136090,1168,195650,3762139562,465,1068179,1164447744,0,831,856,9,4,34
17,finances.worldbank.org,0,2961,7,629706,1.30E+11,0.245106526,38543216,20661084,12916,31435,133878,1951294,500032,314576,37815445,6295,11573,2524910,3456,470869,6,1401,76880,4542,68,261,2690,160,148620,475,93861,3493044603,1313,1921079,1309642752,,2247,2316,10,1,45
18,finances.worldbank.org,0,1994,17,419725,1.52E+11,0.242973069,55712257,17505716,98610,18654,2039880,150872,642137,328919,52810249,84308,8483,2852966,7196,243157,17,1744,72830,3879,192,296,6451,145,105365,655,219991,3276130636,1555,1000757,1408724992,,2381,2456,,1,72
19,finances.worldbank.org,0,1374,12,475337,2.05E+11,0.241088352,52155411,38543216,213442,12916,4480826,133878,1076954,312259,46190722,194316,6295,2298700,12626,222465,10,1081,46404,2889,86,198,5500,140,91905,1000,406909,4283925905,1037,922753,1643433984,,1268,1305,,3,57
20,finances.worldbank.org,0,1424,21,392735,1.47E+11,0.575284606,42938773,55712257,114515,98610,2501094,2039880,956894,275800,39300012,104182,84308,2169782,6149,2170917,22,1559,44368,2373,35,361,3528,233,93210,656,180773,3392309457,1539,3773640,3377664000,,2571,2592,6,1,28
21,finances.worldbank.org,0,1430,5,382551,1.16E+11,0.278386984,36890038,52155411,15991,213442,43383,4480826,917110,290414,35756182,3800,194316,2339571,6007,298577,5,733,33908,2234,35,293,5470,261,113421,714,173363,3055014957,697,1072525,3416559616,,1004,1013,,,8
22,finances.worldbank.org,0,1543,10,496155,1.47E+11,0.228787788,43869330,42938773,19520,114515,259846,2501094,1071208,442571,42325495,5907,104182,2827457,7370,1422230,10,1471,46874,2992,119,514,5468,306,138198,775,212781,5873335141,1451,6216372,3456987136,,1563,1570,3,,17
23,finances.worldbank.org,0,1580,2,476257,1.86E+11,0.491473147,59087269,36890038,18849,15991,542372,43383,836821,1021136,57562876,8861,3800,3722240,4442,692668,,348,37889,2341,60,398,4979,381,75033,567,145200,19512045856,329,1409371,3526258688,,499,501,4,,4
24,finances.worldbank.org,0,1053,20,274443,1.41E+11,0.374769498,31594390,43869330,11358,19520,276238,259846,932559,1049443,30291525,4924,5907,2716250,2776,893425,20,1520,28217,2069,23,455,2966,424,24165,692,94068,20143348665,1510,2383932,3527454720,,1946,1947,2,1,14
25,finances.worldbank.org,0,1472,5,194626,1.17E+11,0.471686108,24095312,59087269,9787,18849,83653,542372,672942,904557,23249698,3934,8861,2609941,2788,803622,5,756,39425,2998,60,492,2696,428,25583,369,89019,18209479353,737,1703722,3564703744,,1017,1018,3,31,35
26,finances.worldbank.org,0,1294,,227118,1.60E+11,0.496817055,25900794,31594390,18357,11358,571589,276238,835096,895653,24380503,7144,4924,2930865,3649,1050389,,304,35048,2294,91,335,7092,333,38043,472,113606,16877132361,282,2114237,3565449216,,439,441,,45,4
27,finances.worldbank.org,0,1304,,318127,1.57E+11,0.356407685,29748522,24095312,17629,9787,1049915,83653,599525,1127835,27978177,8046,3934,3329233,3677,783151,,523,31148,1939,29,424,5453,402,27760,453,120905,22980437313,502,2197346,3874156544,,959,967,1,1,
28,finances.worldbank.org,0,1257,4,269259,1.69E+11,0.513975026,24938763,25900794,17888,18357,1075310,571589,320745,1067504,23461846,10980,7144,3674958,2613,922303,2,535,44618,2722,33,388,4038,385,54201,257,80862,21239735781,508,1794451,3895685120,,525,537,2,,5
29,finances.worldbank.org,0,1514,5,224446,1.92E+11,0.469152869,30103578,29748522,14333,17629,1041724,1049915,332941,1054728,28668804,9135,8046,3769114,1890,828417,6,1028,38308,2656,41,424,3168,412,48189,140,60109,20786548316,1006,1765772,3845632000,,996,1014,,,13
30,finances.worldbank.org,0,1914,7,139271,1.16E+11,0.144785915,18676690,24938763,12072,17888,909021,1075310,714653,778290,16967609,7505,10980,2440607,2532,826738,6,1340,48355,3160,21,407,1659,373,25150,376,85407,15546844183,1321,5710072,3858903040,,1136,1147,,,20
31,finances.worldbank.org,0,1237,5,131038,1.34E+11,0.371765377,22110536,30103578,12257,14333,1277294,1041724,568362,739618,20198271,7726,9135,2520493,2556,861309,5,1045,41640,2746,26,397,1558,392,30782,417,66609,14687781351,1041,2316808,4187475968,,1000,1004,,1,
32,finances.worldbank.org,0,1383,,108082,1.63E+11,0.498591943,13896045,18676690,20988,12072,1678365,909021,868659,770356,11247576,13630,7505,3097242,3634,824520,,621,45221,2996,15,399,3029,404,46454,695,101445,14572465544,612,1653697,4188942336,,545,543,,,4
33,finances.worldbank.org,0,2335,16,184973,1.51E+11,0.435045779,22596637,22110536,20632,12257,1974431,1277294,1117480,898664,19388593,13431,7726,3068434,3764,1200434,16,1906,84095,4837,35,399,2746,388,35219,691,116133,17391732137,1887,2759328,4188934144,,1547,1550,,1,1
34,finances.worldbank.org,0,8702,2,204849,1.52E+11,0.404131576,28726302,13896045,18750,20988,3261471,1678365,1040394,1061649,24348466,13160,13630,3266610,2427,841486,1,1057,106864,10204,27,430,2581,404,38903,582,75971,20917697280,1042,2082208,4201000960,,712,715,2,,
35,finances.worldbank.org,0,2303,5,201970,1.65E+11,0.504785579,30889496,22596637,10931,20632,2735436,1974431,853489,1228918,27159731,3389,13431,3431665,4034,932290,5,1304,64611,3863,25,410,3069,383,29753,439,140840,24685876349,1283,1846903,4202401792,,1004,1006,,1,13
36,finances.worldbank.org,0,1881,4,338725,1.68E+11,0.217484599,74176643,28726302,15456,18750,5965037,3261471,1084866,928896,66959729,5970,13160,2894897,4868,861821,4,1233,55884,3356,22,389,4026,368,29911,592,167011,18624243826,1221,3962676,4209012736,180,633,635,,,6
1,data.cityofboston.gov,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,data.cityofboston.gov,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,data.cityofboston.gov,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,data.cityofboston.gov,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,data.cityofboston.gov,0,,,2,120630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
6,data.cityofboston.gov,0,,1,523,33090903,0,,,,,,,,441,,,,7598,,,,,,,3,1,,,15,,,4056409,,5110,22953984,1339,,,,,
7,data.cityofboston.gov,0,,,252,76810228,0,,,,,,,,17,,,,268,,,,,,,,1,,,5,,,143561,,39,22953984,,,,,,
8,data.cityofboston.gov,0,,,137,110306899,,,,,,,,,30,,,,459,,,,,,,1,,,,9,,,294273,,,22953984,,,,,,
9,data.cityofboston.gov,0,4,2,2515,4393734766,0.181040495,,,58,,1899733,,,2061,1285835,9,,44792,42,178087,,5,200,5,4,27,7,7,370,,2100,11663150,,983686,1228226560,25869,,,,,11
10,data.cityofboston.gov,0,10,1,10913,9767978619,0.928205128,12179920,,737,,7599598,,32004,3416,4535218,312,,82196,262,181,1,2,1939,84,7,20,151,4,705,12,13100,24790831,1,195,1326539875,,,,,1,
11,data.cityofboston.gov,0,10,17,26874,14061919508,0.023792264,4304314,,694,58,1192730,1899733,80514,4638,3010743,164,9,111083,410,136504,16,25,1341,34,3,54,91,4,927,29,20327,36300911,25,5737327,2408380150,316733,,,,,
12,data.cityofboston.gov,0,14,8,12635,99153633449,0.003050437,2903521,12179920,889,737,238632,7599598,103308,2538,2539234,285,312,76424,457,12342,8,21,2863,109,2,41,113,10,905,34,22347,17293849,20,4045978,2288810804,109183,,,,,
13,data.cityofboston.gov,0,43,28,6160,60802537391,0.30949808,7450503,4304314,2426,694,3029304,1192730,131713,7416,4245062,1107,164,159297,1004,3049648,16,50,5167,208,3,132,257,25,1823,58,44424,44618265,49,9853528,1765904650,106339,,,,,
14,data.cityofboston.gov,0,416,57,11551,71576008177,0.554072846,12654523,2903521,1035,889,2196873,238632,106774,13148,10331019,244,285,276515,421,8672664,52,103,36229,991,7,65,325,42,3347,45,19857,87602952,98,15652570,1915335786,116,,,,,
15,data.cityofboston.gov,0,164,155,11479,82639342924,0.47782797,15103571,7450503,2100,2426,1176281,3029304,149147,20325,13733074,493,1107,503517,927,13666159,152,143,15164,553,8,119,622,47,4429,58,45069,126342460,142,28600584,2265933092,45,,,,,
16,data.cityofboston.gov,0,128,107,15907,56193679867,0.397624482,28531074,12654523,1700,1035,2023129,2196873,54139,16705,26423569,613,244,303886,627,10884802,105,139,13812,627,12,60,443,40,3056,17,30237,92820627,136,27374577,2661507525,386,,,,,
17,data.cityofboston.gov,0,41,120,22958,50068761599,0.39432251,16089360,15103571,2016,2100,603531,1176281,121211,9901,15349324,1200,493,181942,323,13712779,119,225,3321,158,4,118,445,65,1693,48,15294,59290161,217,34775542,2741655165,4402,4,7,,,5
18,data.cityofboston.gov,0,81,87,31518,42500982644,0.450321674,25809386,28531074,17441,1700,1435987,2023129,154059,19516,24213083,16920,613,409875,138,8090141,85,176,21987,2427,6,42,329,37,1987,54,6257,95192567,172,17965249,2809386621,15,,,,,
19,data.cityofboston.gov,0,95,133,18178,71127185953,0.472331694,26665067,16089360,58728,2016,1063191,603531,170275,33708,25404104,57168,1200,619671,600,14395544,133,431,18008,967,26,66,860,66,4580,100,27497,230447588,421,30477616,2814350973,319,,,,,
20,data.cityofboston.gov,0,49,235,17454,1.31E+11,0.959172399,31265000,25809386,67206,17441,1159177,1435987,358369,112089,29704460,64659,16920,1277181,979,28288321,232,886,16640,1425,27,120,1352,119,8084,216,42994,1181560006,884,29492426,3054974589,,,,,,
21,data.cityofboston.gov,0,84,297,20195,1.35E+11,0.938097033,34202728,26665067,4122,58728,33894,1063191,245998,65298,33899547,660,57168,1022095,488,29622563,296,968,29868,2463,11,158,2899,150,4235,75,23289,654123795,967,31577291,3078846077,93,,,,,
22,data.cityofboston.gov,0,91,260,19266,1.15E+11,0.91175428,50684203,31265000,20689,67206,49377,1159177,278359,54218,50332798,830,64659,1009159,505,21520604,257,714,24438,1742,79,132,19263,120,4187,91,23669,332210312,713,23603513,3530667645,152,,,,,
23,data.cityofboston.gov,0,90,282,17234,1.12E+11,0.741055903,24465870,34202728,3146,4122,316845,33894,195842,52863,23929274,682,660,1330699,514,28080775,282,826,35743,2462,51,187,1887,165,3837,63,23909,318352106,826,37892924,3750884989,,,,,,
24,data.cityofboston.gov,0,88,333,13954,1.18E+11,0.977600403,40541558,50684203,3028,20689,757568,49377,230568,50753,39528714,1079,830,940117,544,34275941,332,987,34776,1893,8,206,1325,206,4601,80,24708,314565947,983,35061300,3788486269,,,,,,
25,data.cityofboston.gov,0,114,333,28604,1.11E+11,0.940136804,42336345,24465870,6041,3146,221391,316845,229746,80219,41859134,610,682,1272231,572,31490059,332,990,64618,5273,41,215,4773,199,6864,86,26074,413248105,987,33495188,3741005437,95,,,,28,
26,data.cityofboston.gov,0,4918,299,38797,1.12E+11,0.954381545,60307376,40541558,12264,3028,7461101,757568,299762,158510,52517293,7894,1079,2063675,648,26250984,299,894,465588,19994,54,167,3608,162,15144,114,29220,1208907502,885,27505754,3770156626,26383,,,,36,
